Size, Seq, Par, Libc
100, 0.000021, 0.009047, 0.000025
100, 0.000021, 0.008908, 0.000024
100, 0.000020, 0.009028, 0.000024
100, 0.000021, 0.008913, 0.000024
100, 0.000021, 0.008954, 0.000025
100, 0.000021, 0.008954, 0.000024
100, 0.000021, 0.009245, 0.000024
100, 0.000020, 0.008891, 0.000024
100, 0.000020, 0.009035, 0.000024
100, 0.000020, 0.008893, 0.000025
1000, 0.000244, 0.037863, 0.000353
1000, 0.000243, 0.038363, 0.000352
1000, 0.000243, 0.038345, 0.000379
1000, 0.000243, 0.038340, 0.000354
1000, 0.000244, 0.038267, 0.000348
1000, 0.000243, 0.040480, 0.000350
1000, 0.000243, 0.039471, 0.000352
1000, 0.000244, 0.038495, 0.000352
1000, 0.000243, 0.038735, 0.000383
1000, 0.000273, 0.038358, 0.000350
10000, 0.003696, 0.057815, 0.002850
10000, 0.003714, 0.056670, 0.002857
10000, 0.003715, 0.059343, 0.003092
10000, 0.003704, 0.057583, 0.002854
10000, 0.003716, 0.056817, 0.002850
10000, 0.003717, 0.057954, 0.002823
10000, 0.003276, 0.063980, 0.002855
10000, 0.003307, 0.066139, 0.002846
10000, 0.003296, 0.066725, 0.002858
10000, 0.003307, 0.066776, 0.002850
100000, 0.041491, 0.144266, 0.036755
100000, 0.041460, 0.142954, 0.036076
100000, 0.041478, 0.147152, 0.035337
100000, 0.042821, 0.122128, 0.037544
100000, 0.042789, 0.123728, 0.036725
100000, 0.042808, 0.124398, 0.036334
100000, 0.042819, 0.125840, 0.036058
100000, 0.042789, 0.125113, 0.036044
100000, 0.041274, 0.142978, 0.036584
100000, 0.041287, 0.144023, 0.036712
1000000, 0.510357, 0.623465, 0.432978
1000000, 0.500644, 0.627074, 0.433040
1000000, 0.503819, 0.646427, 0.432685
1000000, 0.485548, 0.644672, 0.433789
1000000, 0.515857, 0.627594, 0.431793
1000000, 0.499753, 0.640326, 0.431821
1000000, 0.495022, 0.644576, 0.433011
1000000, 0.495938, 0.622941, 0.433177
1000000, 0.515513, 0.654754, 0.433346
1000000, 0.487975, 0.622299, 0.432622
